contratto_cod|codice_ordine_sap|tipo_contratto|codice_opec|data_firma|net_amount|causale_annullamento|data_annullamento|codice_agente|status_quote|creazione_dta
Y05817392||Facile|H02PPXKK|3/31/2022|1198|||11621|Scatto Bloccato|12/1/2022
Y05818162||Facile|H07JM0BB|3/31/2022|648|||2051|Scatto Bloccato|12/1/2022
Y05819832||Facile|H059WAJH|3/31/2022|1348|||12503|Scatto Bloccato|12/1/2022
Y05762612||Facile|F6T51AA1|3/31/2022|625.95|||10645|Scatto Bloccato|12/1/2022
Y05821742||Facile|A7EYUAAU|3/31/2022|599|||12499|In attesa scatto|12/1/2022
Y05821632||Facile|E7W0WAAW|4/1/2022|599|||9393|Scatto Bloccato|12/1/2022
Y05793422||Facile|H07JMRKJ|3/31/2022|1658|||9256|Scatto Bloccato|12/1/2022
Y05746772||Facile|H04290WW|3/31/2022|799|||10794|In attesa scatto|12/1/2022
Y05818752||Facile|GLEUZAAZ|3/31/2022|4947|||6685|Scatto Bloccato|12/1/2022
Y05819602||Facile|H016UGAG|3/31/2022|652.9|||10097|Scatto Bloccato|12/1/2022
Y05822022||Facile|H011E8UU|3/31/2022|599|||12155|Scatto Bloccato|12/1/2022
Y05619892||Facile|H07H8XVV|3/31/2022|999|||4607|In attesa scatto|12/1/2022
Y05794212||Facile|H068FFBA|3/31/2022|599|||12720|Scatto Bloccato|12/1/2022
Y05527232||Facile|BM43JAAJ|3/31/2022|599|||12120|Scatto Bloccato|12/1/2022
Y05814852||Facile|H04PU4MM|3/31/2022|599|||56206|Scatto Bloccato|12/1/2022
Y05820182||Facile|H011VM65|3/31/2022|290|||6444|Scatto Bloccato|12/1/2022
Y05819192||Facile|DH0XGAAG|3/31/2022|948|||12910|Scatto Bloccato|12/1/2022
Y05819382||Facile|H03YS188|3/31/2022|1198|||11941|Scatto Bloccato|12/1/2022
Y05821732||Facile|H065RW99|3/31/2022|1198|||12498|Scatto Bloccato|12/1/2022
Y04653302||Facile|DZDW1AA1|3/31/2022|599|||12913|Scatto Bloccato|12/1/2022
Y05815232||Facile|H07AKDFE|3/31/2022|1448|||12510|Scatto Bloccato|12/1/2022
Y05617032||Facile|H019G6ZZ|3/31/2022|2017|||2721|Scatto Bloccato|12/1/2022
Y05809602||Facile|H04797PP|3/31/2022|599|||10807|In attesa scatto|12/1/2022
Y05793332||Facile|EG4TDAAD|3/31/2022|629|||9346|Scatto Bloccato|12/1/2022
Y05815652||Facile|H07JMZZZ|3/31/2022|1224.95|||2051|In attesa scatto|12/1/2022
Y05816782||Facile|H061NEZY|3/31/2022|1198|||12803|In attesa scatto|12/1/2022
Y05820422||Facile|H07JM0JJ|3/31/2022|1198|||3435|Scatto Bloccato|12/1/2022
Y05820652||Facile|ASKL5AA4|3/31/2022|599|||3435|Scatto Bloccato|12/1/2022
Y05821992||Facile|H07DWVMM|3/31/2022|599|||12513|Scatto Bloccato|12/1/2022
Y05815442||Facile|H0119977|3/31/2022|599|||11491|Scatto Bloccato|12/1/2022
Y05817302||Facile|H07JMZ55|3/31/2022|1327|||12510|Scatto Bloccato|12/1/2022
Y05764962||Facile|AHSEBAAA|3/31/2022|978|||12131|Scatto Bloccato|12/1/2022
Y05793982||Facile|A20GVAAU|3/31/2022|3846|||9346|Scatto Bloccato|12/1/2022
Y05814242||Facile|H01SJX22|3/31/2022|844|||4635|Scatto Bloccato|12/1/2022
Y05819002||Facile|H01LEJVU|3/31/2022|4545|||2620|Scatto Bloccato|12/1/2022
Y05819292||Facile|FJJX5AA5|3/31/2022|599|||8404|Scatto Bloccato|12/1/2022
Y05820092||Facile|H02ZF2PP|3/31/2022|599|||12452|Scatto Bloccato|12/1/2022
Y05819892||Facile|D9SR7AA6|3/31/2022|629|||9346|Scatto Bloccato|12/1/2022
