contratto_cod|numero_annuncio|list_total|contracted_price|total_discount|data_attivazione|data_fine_prestazione|product_code|quantity|causale_annullamento|data_annullamento|status_item|creazione_dta
Y01603170|2|329|263.2|65.8|9/17/2021|9/24/2022|SGE|1|||R|9/16/2021
Y01603170|3|170|136|34|9/17/2021|9/25/2022|GODB|1|||R|9/16/2021
Y01603170|4|30|24|6|9/17/2021|9/24/2022|HOMEB|1|||R|9/16/2021
Y01771020|6|30|30|0|9/30/2021|9/30/2022|HOMEB|1|||R|9/23/2021
Y01771020|3|464|464|0|9/30/2021|10/1/2022|SGP|1|||R|9/23/2021
Y01771020|4|138|138|0|9/30/2021|10/3/2022|SBE|1|||R|9/23/2021
Y01771020|5|97|97|0|9/30/2021|10/1/2022|GODB|1|||R|9/23/2021
Y01771020|7|649|649|0|10/4/2021|10/5/2022|AWP|1|||R|9/27/2021
Y01771020|8|3400|3400|0|10/4/2021|10/4/2022|AWCR|34|||R|9/27/2021
Y04000160|4|152|152|0|1/12/2022|1/12/2023|FUOP|2|||R|1/12/2022
Y04000160|5|30|30|0|1/12/2022|1/12/2023|HOMEB|1|||R|1/12/2022
Y04000160|2|329|329|0|1/12/2022|1/12/2023|SGE|1|||R|1/12/2022
Y04000160|3|170|170|0|1/12/2022|1/12/2023|GODB|1|||R|1/12/2022
Y04000160|6|599|599|0|1/12/2022|2/6/2023|MSE|1|||R|1/12/2022
Y04093920|5|50|48.49|1.51|1/22/2022|1/22/2023|BDSK|1|||R|1/17/2022
Y04093920|6|449|435.4|13.6|1/22/2022|1/22/2023|BDADV|1|||R|1/17/2022
Y04093920|9|2760|2484|0|1/24/2022|1/24/2023|INME|1|||R|1/17/2022
Y04093920|7|49|26.13|0.82|9/13/2022||TESTO|1|||R|1/17/2022
Y04093920|8|49|26.13|0.82|9/13/2022||TESTO|1|||R|1/17/2022
Y04093920|2|329|319.04|9.96|1/21/2022|1/21/2023|SGE|1|||R|1/17/2022
Y04093920|3|170|164.85|5.15|1/21/2022|1/23/2023|GODB|1|||R|1/17/2022
Y04093920|4|599|580.86|18.14|1/21/2022|10/6/2023|MSE|1|||R|1/17/2022
Y04332730|4|215|215|0|1/28/2022|5/19/2023|PLCP|1|||R|1/25/2022
Y04332730|6|218|119.9|0|12/22/2022||ENTRY|1|||R|1/25/2022
Y04332730|7|300|195|0|12/22/2022||EXTRA|20|||R|1/25/2022
Y04332730|8|218|119.9|0|12/22/2022||ENTRY|1|||R|1/25/2022
Y04332730|2|329|329|0|1/28/2022|9/28/2023|SGE|1|||R|1/25/2022
Y04332730|3|170|170|0|1/28/2022|5/28/2023|GODB|1|||R|1/25/2022
Y04332730|5|349|349|0|1/28/2022|6/14/2023|SSE|1|||R|1/25/2022
Y04692121|3|331.52|298.33|33.19|2/9/2022|11/10/2023|SGSTD|1|||R|2/9/2022
Y04692121|4|149.35|134.4|14.95|2/9/2022|5/20/2023|SBE|1|||R|2/9/2022
Y04692121|5|113.25|101.91|11.34|2/9/2022|9/13/2023|GODB|1|||R|2/9/2022
Y04692121|6|87.2|78.47|8.73|2/9/2022|2/9/2023|REPM|1|||R|2/9/2022
Y04692121|7|128.88|115.98|12.9|2/9/2022|2/9/2023|PGMOB|1|||R|2/9/2022
Y04692121|8|76.5|68.84|7.66|2/9/2022|2/9/2023|CRMEM|1|||R|2/9/2022
Y04692121|9|41.8|37.62|4.18|2/9/2022|2/9/2023|CRMCO|1|||R|2/9/2022
Y04692121|10|70.5|63.44|7.06|2/9/2022|2/9/2023|CRMSM|1|||R|2/9/2022
Y10428220|2|310|224.89|85.11|||FOF|1|||R|11/17/2022
Y10428220|3|240|174.11|65.89|||FOF|1|||R|11/17/2022
Y11251201|14|199|99|0|||AWE|1|||R|1/3/2023
Y11251201|15|600|600|0|||AWCR|6|||R|1/3/2023
Y11251201|3|416.34|361.07|0|1/23/2023|11/26/2024|SGPRE|1|||R|1/3/2023
Y11251201|4|138.98|120.53|0|1/23/2023|4/30/2024|SBE|1|||R|1/3/2023
Y11251201|5|105.39|91.4|0|1/23/2023|6/26/2024|GODB|1|||R|1/3/2023
Y11251201|6|92.76|80.45|0|||PUBPG|1|||R|1/3/2023
Y11251201|7|143.1|124.1|0|||NOVPG|1|||R|1/3/2023
Y11251201|8|107.86|93.54|0|1/23/2023|1/23/2024|REPG|1|||R|1/3/2023
Y11251201|9|204.55|177.4|0|1/23/2023|1/23/2024|VIS|5|||R|1/3/2023
Y11251201|10|119.92|104|0|1/23/2023|2/2/2024|PGMOB|1|||R|1/3/2023
Y11251201|11|65.61|56.9|0|1/23/2023|1/23/2024|CRMEM|1|||R|1/3/2023
Y11251201|12|38.88|33.72|0|1/23/2023|1/23/2024|CRMCO|1|||R|1/3/2023
Y11251201|13|65.61|56.9|0|1/23/2023|1/23/2024|CRMSM|1|||R|1/3/2023
Y11320670|2|329|273.07|55.93|||SGE|1|||R|1/9/2023
Y11320670|3|170|141.1|28.9|||GODB|1|||R|1/9/2023
Y11320670|5|599|497.17|101.83|||MSE|1|||R|1/9/2023
Y11320670|6|199|199|0|||AWE|1|||R|1/9/2023
Y11320670|7|1000|1000|0|||AWCR|10|||R|1/9/2023
Y11320670|8|99|45.19|9.26|||LOG0|1|||R|1/9/2023
Y11320670|9|2700|1232.55|252.45|||MPAG|1|||R|1/9/2023
Y11320670|4|549|455.67|93.33|||SPS2|1|||R|1/23/2023
Y11405780|3|299.1|299.1|0|1/23/2023|2/9/2024|SGBAS|1|||R|1/12/2023
Y11405780|4|144.89|144.89|0|1/23/2023|2/9/2024|SBE|1|||R|1/12/2023
Y11405780|5|109.87|109.87|0|1/23/2023|2/9/2024|GODB|1|||R|1/12/2023
Y11405780|6|4.61|4.61|0|1/23/2023|1/23/2024|REPL|1|||R|1/12/2023
Y11405780|7|40.53|40.53|0|1/23/2023|1/23/2024|CRMCO|1|||R|1/12/2023
Y11405780|9|99|69.3|0|||LOG0|1|||R|1/12/2023
Y11405780|8|100|100|0|1/23/2023|1/23/2024|VIS|2|||R|1/12/2023
Y11405780|10|99|69.3|0|||LOG0|1|||R|1/12/2023
Y11519670|8|349|342.02|6.98|1/23/2023|4/6/2024|SSE|1|||R|1/17/2023
Y11519670|3|299.1|293.12|5.98|1/23/2023|3/3/2024|SGBAS|1|||R|1/17/2023
Y11519670|4|144.89|141.99|2.9|1/23/2023|1/23/2024|SBE|1|||R|1/17/2023
Y11519670|5|109.87|107.67|2.2|1/23/2023|3/3/2024|GODB|1|||R|1/17/2023
Y11519670|6|4.61|4.52|0.09|1/23/2023|1/23/2024|REPL|1|||R|1/17/2023
Y11519670|7|40.53|39.72|0.81|1/23/2023|1/23/2024|CRMCO|1|||R|1/17/2023
Y11581151|3|179|144.87|34.13|1/23/2023|4/22/2024|SBE|1|||R|1/19/2023
Y11581151|5|99|80.13|18.87|||LOG0|1|||R|1/21/2023
Y11617031|3|199|171.64|27.36|1/23/2023|5/13/2024|SGE|1|||R|1/21/2023
Y11617031|4|150|129.36|20.64|1/23/2023|1/23/2024|VIS|3|||R|1/21/2023
Y11634051|3|299.1|269.19|29.91|1/23/2023|3/3/2024|SGBAS|1|||R|1/23/2023
Y11634051|4|144.89|130.4|14.49|1/23/2023|3/3/2024|SBE|1|||R|1/23/2023
Y11634051|5|109.87|98.88|10.99|1/23/2023|3/3/2024|GODB|1|||R|1/23/2023
Y11634051|6|4.61|4.15|0.46|1/23/2023|3/3/2024|REPL|1|||R|1/23/2023
Y11634051|7|40.53|36.48|4.05|1/23/2023|3/3/2024|CRMCO|1|||R|1/23/2023
Y11634051|8|1199|1079.1|119.9|||PSOC4|1|||R|1/23/2023
Y11634051|9|450|405|45|||BOOS4|1|||R|1/23/2023
Y11635571|3|299.1|210.72|38.45|1/23/2023|8/28/2024|SGBAS|1|||R|1/23/2023
Y11635571|4|144.89|102.07|18.63|1/23/2023|2/12/2024|SBE|1|||R|1/23/2023
Y11635571|5|109.87|77.41|14.12|1/23/2023|6/24/2024|GODB|1|||R|1/23/2023
Y11635571|6|4.61|3.25|0.59|1/23/2023|1/23/2024|REPL|1|||R|1/23/2023
Y11635571|7|40.53|28.55|5.21|1/23/2023|1/23/2024|CRMCO|1|||R|1/23/2023
Y11635571|8|149|126.01|22.99|1/23/2023|5/25/2024|PGMOB|1|||R|1/23/2023
Y11635831|3|416.34|388.57|0|||SGPRE|1|||R|1/23/2023
Y11635831|4|138.98|129.71|0|||SBE|1|||R|1/23/2023
Y11635831|5|105.39|98.36|0|||GODB|1|||R|1/23/2023
Y11635831|6|92.76|86.57|0|||PUBPG|1|||R|1/23/2023
Y11635831|7|143.1|133.55|0|||NOVPG|1|||R|1/23/2023
Y11635831|8|107.86|100.67|0|||REPG|1|||R|1/23/2023
Y11635831|9|204.55|190.9|0|||VIS|5|||R|1/23/2023
Y11635831|10|119.92|111.92|0|||PGMOB|1|||R|1/23/2023
Y11635831|11|65.61|61.23|0|||CRMEM|1|||R|1/23/2023
Y11635831|12|38.88|36.29|0|||CRMCO|1|||R|1/23/2023
Y11635831|13|65.61|61.23|0|||CRMSM|1|||R|1/23/2023
Y11636701|3|299.1|274.64|0|||SGBAS|1|||R|1/23/2023
Y11636701|4|144.89|133.04|0|||SBE|1|||R|1/23/2023
Y11636701|5|109.87|100.88|0|||GODB|1|||R|1/23/2023
Y11636701|6|4.61|4.23|0|||REPL|1|||R|1/23/2023
Y11636701|7|40.53|37.22|0|||CRMCO|1|||R|1/23/2023
Y11636701|8|349|349|0|||SSE|1|||R|1/23/2023
Y11636701|9|199|99|0|||AWE|1|||R|1/23/2023
Y11636701|10|600|600|0|||AWCR|6|||R|1/23/2023
Y11638191|3|331.52|331.52|0|||SGSTD|1|||R|1/23/2023
Y11638191|4|149.35|149.35|0|||SBE|1|||R|1/23/2023
Y11638191|5|113.25|113.25|0|||GODB|1|||R|1/23/2023
Y11638191|6|87.2|87.2|0|||REPM|1|||R|1/23/2023
Y11638191|7|128.88|128.88|0|||PGMOB|1|||R|1/23/2023
Y11638191|8|76.5|76.5|0|||CRMEM|1|||R|1/23/2023
Y11638191|9|41.8|41.8|0|||CRMCO|1|||R|1/23/2023
Y11638191|10|70.5|70.5|0|||CRMSM|1|||R|1/23/2023
Y11638681|2|290|243.78|46.22|1/23/2023|2/14/2024|SBE|1|||R|1/23/2023
Y11638681|3|99|83.22|15.78|||LOG0|1|||R|1/23/2023
Y11639241|3|299.1|236.71|12.46|||SGBAS|1|||R|1/23/2023
Y11639241|4|144.89|114.67|6.03|||SBE|1|||R|1/23/2023
Y11639241|5|109.87|86.95|4.58|||GODB|1|||R|1/23/2023
Y11639241|6|4.61|3.65|0.19|||REPL|1|||R|1/23/2023
Y11639241|7|40.53|32.07|1.69|||CRMCO|1|||R|1/23/2023
Y11639241|8|49|25.6|1.35|||TESTO|1|||R|1/23/2023
Y11641121|9|30|29.91|0.09|1/23/2023|3/11/2024|HOMEB|1|||R|1/23/2023
Y11641121|3|299.1|293.23|0.88|1/23/2023|3/11/2024|SGBAS|1|||R|1/23/2023
Y11641121|4|144.89|142.04|0.43|1/23/2023|3/11/2024|SBE|1|||R|1/23/2023
Y11641121|5|109.87|107.72|0.32|1/23/2023|3/11/2024|GODB|1|||R|1/23/2023
Y11641121|6|4.61|4.52|0.01|1/23/2023|1/23/2024|REPL|1|||R|1/23/2023
Y11641121|7|40.53|39.73|0.12|1/23/2023|1/23/2024|CRMCO|1|||R|1/23/2023
Y11641121|8|50|49.85|0.15|1/23/2023|1/23/2024|VIS|1|||R|1/23/2023
Y11642320|3|151|151|0|1/23/2023|10/26/2024|SGE|1|||R|1/23/2023
Y11642320|4|148|148|0|1/23/2023|5/17/2024|SBE|1|||R|1/23/2023
Y11643581|3|299.1|149.3|99.87|||SGBAS|1|||R|1/23/2023
Y11643581|4|144.89|72.32|48.38|||SBE|1|||R|1/23/2023
Y11643581|5|109.87|54.84|36.69|||GODB|1|||R|1/23/2023
Y11643581|6|4.61|2.3|1.54|||REPL|1|||R|1/23/2023
Y11643581|7|40.53|20.23|13.53|||CRMCO|1|||R|1/23/2023
Y11645431|3|123|123|0|1/23/2023|11/30/2024|SGE|1|||R|1/23/2023
Y11645431|4|106|106|0|1/23/2023|4/9/2024|SBE|1|||R|1/23/2023
